keys,de,en,tr
GAME_TITLE,Oktoberfest Simulator,Oktoberfest Simulator,Oktoberfest Simulator
MENU_CONTINUE,Weiterspielen,Continue,Devam Et
MENU_NEW_GAME,Neues Spiel,New Game,Yeni Oyun
MENU_COOP,Koop spielen,Play Co-op,Birlikte Oyna
MENU_SETTINGS,Einstellungen,Settings,Ayarlar
MENU_CREDITS,Mitwirkende,Credits,Emeği Geçenler
MENU_QUIT,Beenden,Quit,Çıkış
MENU_LOAD,Spielstand laden,Load game,Oyun yükle
SLOTS_TITLE_NEW,Neues Spiel — Platz wählen,New game — choose a slot,Yeni oyun — yuva seç
SLOTS_TITLE_LOAD,Spielstand laden,Load game,Oyun yükle
SLOT_EMPTY,Platz %d — leer,Slot %d — empty,Yuva %d — boş
SLOT_INFO,Platz %d — Tag %d · %s · %s,Slot %d — Day %d · %s · %s,Yuva %d — %d. Gün · %s · %s
SLOT_TOO_NEW,Platz %d — aus einer neueren Spielversion,Slot %d — from a newer game version,Yuva %d — daha yeni bir oyun sürümünden
SLOT_LOAD,Laden,Load,Yükle
SLOT_NEW,Hier beginnen,Start here,Burada başla
MENU_BACK,Zurück,Back,Geri
MENU_VERSION,Version %s,Version %s,Sürüm %s
MENU_CONTINUE_INFO,"Tag %d · %s €","Day %d · €%s","%d. Gün · %s €"
NEWGAME_CONFIRM_TITLE,Neues Spiel starten?,Start a new game?,Yeni oyun başlatılsın mı?
NEWGAME_CONFIRM_TEXT,Dein bisheriger Spielstand wird überschrieben.,Your current save will be overwritten.,Mevcut kaydının üzerine yazılacak.
NEWGAME_CONFIRM_YES,Ja, neu anfangen,"Yes, start over","Evet, baştan başla"
NEWGAME_CONFIRM_NO,Abbrechen,Cancel,Vazgeç
COOP_TITLE,Koop spielen,Play Co-op,Birlikte Oyna
COOP_JOIN_SERVER,Offiziellem Server beitreten,Join official server,Resmi sunucuya katıl
COOP_HOST,Eigenes Spiel hosten,Host your own game,Kendi oyununu kur
COOP_JOIN_IP,Per IP beitreten,Join by IP,IP ile katıl
COOP_IP_PLACEHOLDER,IP-Adresse,IP address,IP adresi
COOP_STEAM_SOON,Freunde über Steam einladen folgt,Inviting friends via Steam is coming,Steam üzerinden arkadaş davet etme yakında
STATUS_CONNECTING,Verbinde mit %s …,Connecting to %s …,%s adresine bağlanılıyor …
STATUS_CONNECT_FAILED,Verbindung fehlgeschlagen. Ist der Server erreichbar?,Connection failed. Is the server reachable?,Bağlantı başarısız. Sunucu erişilebilir mi?
STATUS_HOST_FAILED,Spiel konnte nicht gestartet werden (Fehler %d).,Could not start the game (error %d).,Oyun başlatılamadı (hata %d).
COOP_STEAM_FRIENDS,Mit Steam-Freunden spielen,Play with Steam friends,Steam arkadaşlarıyla oyna
COOP_STEAM_HINT,Erstellt ein Spiel nur für Freunde. Einladen im Spiel: ESC Freunde einladen.,Creates a friends-only game. To invite: ESC Invite friends.,Sadece arkadaşlara açık bir oyun kurar. Davet için oyunda: ESC Arkadaş davet et.
COOP_STEAM_OFFLINE,"Steam läuft nicht — starte das Spiel über Steam, um Freunde einzuladen.",Steam is not running — start the game through Steam to invite friends.,Steam çalışmıyor — arkadaş davet etmek için oyunu Steam üzerinden başlat.
COOP_STEAM_ONLY,Freunde über Steam einladen gibt es in der Steam-Version.,Inviting friends via Steam is available in the Steam version.,Steam üzerinden arkadaş davet etme Steam sürümünde mevcut.
PAUSE_INVITE,Freunde einladen (Steam),Invite friends (Steam),Arkadaş davet et (Steam)
STATUS_STEAM_LOBBY,Erstelle Steam-Lobby …,Creating Steam lobby …,Steam lobisi kuruluyor …
STATUS_STEAM_JOINING,Trete dem Spiel deines Freundes bei …,Joining your friend's game …,Arkadaşının oyununa katılınıyor …
NET_STEAM_LOBBY_FAILED,Die Steam-Lobby konnte nicht erstellt werden.,The Steam lobby could not be created.,Steam lobisi kurulamadı.
NET_STEAM_JOIN_FAILED,"Beitritt fehlgeschlagen — das Spiel ist voll, geschlossen oder nicht mehr da.","Could not join — the game is full, closed, or gone.","Katılamadın — oyun dolu, kapalı ya da artık yok."
NET_TIMEOUT,"Keine Antwort vom Server. Stimmt die Adresse, oder ist der Server voll?","No answer from the server. Is the address right, or is the server full?","Sunucudan yanıt yok. Adres doğru mu, yoksa sunucu dolu mu?"
NET_HOST_LEFT,Die Verbindung ist abgebrochen — der Host hat das Spiel verlassen.,The connection was lost — the host left the game.,Bağlantı koptu — kurucu oyundan ayrıldı.
NET_VERSION_MISMATCH,"Der Server hat Version %s, du hast Version %s. Starte das Spiel neu, dann wird aktualisiert.","The server runs version %s, you have version %s. Restart the game to update.","Sunucuda sürüm %s var, sende sürüm %s. Güncellemek için oyunu yeniden başlat."
NET_NO_ANSWER,Der Server hat nicht geantwortet. Vielleicht läuft dort eine andere Version.,The server did not answer. It may be running a different version.,Sunucu yanıt vermedi. Belki orada farklı bir sürüm çalışıyor.
NET_PLAYER_JOINED,Ein Mitspieler ist dazugekommen,A player joined,Bir oyuncu katıldı
NET_PLAYER_LEFT,Ein Mitspieler hat das Spiel verlassen,A player left the game,Bir oyuncu oyundan ayrıldı
STATUS_ENTER_IP,Bitte eine IP-Adresse eingeben.,Please enter an IP address.,Lütfen bir IP adresi gir.
STATUS_UPDATE_SEARCH,Suche nach Updates …,Checking for updates …,Güncellemeler aranıyor …
STATUS_UPDATE_LOAD,Lade Update %d …,Downloading update %d …,Güncelleme %d indiriliyor …
STATUS_STARTING,Starte …,Starting …,Başlatılıyor …
LOADING,Lädt …,Loading …,Yükleniyor …
LOAD_TIP_1,Tipp: Halte immer ein Paket Bier auf Vorrat — ohne Ware verkaufst du nichts.,Tip: Always keep a package of beer in stock — without supplies you sell nothing.,İpucu: Depoda her zaman bir paket bira bulundur — malzeme olmadan hiçbir şey satamazsın.
LOAD_TIP_2,Tipp: Ein sauberes Zelt bringt mehr Geld pro Bestellung. {interact} gedrückt halten zum Putzen.,Tip: A clean tent earns more per order. Hold {interact} to clean.,İpucu: Temiz bir çadır sipariş başına daha çok kazandırır. Temizlemek için {interact} basılı tut.
LOAD_TIP_3,Tipp: Kellner auf höherer Stufe tragen bis zu 12 Krüge auf einmal.,Tip: Higher-level waiters carry up to 12 mugs at once.,İpucu: Üst seviye garsonlar tek seferde 12 kupaya kadar taşır.
LOAD_TIP_4,Tipp: Ab 19 Uhr wird das Zelt voll und die Gäste werden ungeduldig.,Tip: From 19:00 the tent fills up and guests get impatient.,İpucu: Saat 19:00'dan sonra çadır dolar ve misafirler sabırsızlanır.
LOAD_TIP_5,Tipp: {help} öffnet die Hilfe mit allen Tasten.,Tip: {help} opens help with all controls.,İpucu: {help} tüm tuşlarla yardımı açar.
LOAD_TIP_6,Tipp: Meilensteine im Wiesenbüro bringen Bonusgeld.,Tip: Milestones in the Fair Office pay bonus money.,İpucu: Fuar Ofisindeki kilometre taşları bonus para kazandırır.
PAUSE_TITLE,Pause,Paused,Duraklatıldı
PAUSE_RESUME,Fortsetzen,Resume,Devam Et
PAUSE_SAVE_MENU,Speichern und zum Hauptmenü,Save and return to menu,Kaydet ve ana menüye dön
PAUSE_LEAVE_MENU,Verlassen und zum Hauptmenü,Leave to main menu,Ana menüye dön
PAUSE_QUIT,Spiel beenden,Quit game,Oyundan çık
PAUSE_COOP_HINT,Im Koop läuft die Zeit weiter.,Time keeps running in co-op.,Birlikte oyunda zaman durmaz.
SET_TITLE,Einstellungen,Settings,Ayarlar
SET_TAB_GRAPHICS,Grafik,Graphics,Grafik
SET_TAB_AUDIO,Ton,Audio,Ses
SET_TAB_CONTROLS,Steuerung,Controls,Kontroller
SET_TAB_LANGUAGE,Sprache,Language,Dil
SET_FULLSCREEN,Vollbild,Fullscreen,Tam ekran
SET_VSYNC,VSync,VSync,VSync
SET_RESOLUTION,Auflösung,Resolution,Çözünürlük
SET_QUALITY,Grafikqualität,Graphics quality,Grafik kalitesi
SET_QUALITY_LOW,Niedrig,Low,Düşük
SET_QUALITY_MEDIUM,Mittel,Medium,Orta
SET_QUALITY_HIGH,Hoch,High,Yüksek
SET_QUALITY_HINT,"Niedrig: weniger Besucher und Lichter, keine Nachbearbeitung. Ruckelt das Spiel, zuerst die Qualität senken, dann die Auflösung.","Low: fewer visitors and lights, no post-processing. If the game stutters, lower quality first, then resolution.","Düşük: daha az ziyaretçi ve ışık, son işleme yok. Oyun takılırsa önce kaliteyi, sonra çözünürlüğü düşür."
SET_RENDERER,Darstellung,Renderer,Görüntüleme
SET_RENDERER_QUALITY,Qualität (Standard),Quality (default),Kalite (varsayılan)
SET_RENDERER_PERFORMANCE,Leistung — für schwache Grafikchips,Performance — for weak graphics chips,Performans — zayıf ekran kartları için
SET_RENDERER_RESTART,Wird beim nächsten Spielstart übernommen.,Takes effect the next time you start the game.,Oyunu bir sonraki açışında geçerli olur.
SET_VOL_MASTER,Gesamtlautstärke,Master volume,Genel ses
SET_VOL_MUSIC,Musik,Music,Müzik
SET_VOL_SFX,Effekte,Effects,Efektler
SET_VOL_AMBIENT,Umgebung,Ambience,Ortam
SET_MOUSE_SENS,Mausempfindlichkeit,Mouse sensitivity,Fare hassasiyeti
SET_INVERT_Y,Maus Y-Achse umkehren,Invert mouse Y axis,Fare Y eksenini ters çevir
SET_KEYBINDS,Tastenbelegung,Key bindings,Tuş atamaları
SET_PRESS_KEY,Taste drücken …,Press a key …,Bir tuşa bas …
SET_RESET_KEYS,Standard wiederherstellen,Restore defaults,Varsayılana dön
SET_LANGUAGE,Sprache,Language,Dil
SET_LANG_AUTO,Automatisch (System),Automatic (system),Otomatik (sistem)
ACTION_MOVE_FORWARD,Vorwärts,Move forward,İleri
ACTION_MOVE_BACK,Rückwärts,Move back,Geri
ACTION_MOVE_LEFT,Links,Move left,Sol
ACTION_MOVE_RIGHT,Rechts,Move right,Sağ
ACTION_INTERACT,Benutzen,Interact,Etkileşim
ACTION_SPRINT,Rennen,Sprint,Koş
ACTION_EMOTE,Prost,Cheers,Şerefe
ACTION_COSTUME,Kostüm wechseln,Change costume,Kostüm değiştir
ACTION_PAUSE,Pause,Pause,Duraklat
ACTION_HELP,Hilfe,Help,Yardım
HUD_DAY,Tag %d,Day %d,%d. Gün
HUD_CLOSED,Zelt geschlossen,Tent closed,Çadır kapalı
HUD_POPULARITY,Beliebtheit,Popularity,Popülerlik
HUD_STOCK,Lager,Storage,Depo
HUD_CLEAN,Sauberkeit,Cleanliness,Temizlik
HUD_TASK,Aufgabe %d von %d,Task %d of %d,Görev %d / %d
HUD_TASK_DONE,Erledigt: %s,Done: %s,Tamamlandı: %s
HUD_TASK_SKIP,ESC Tutorial überspringen,ESC Skip tutorial,ESC Eğitimi atla
PAUSE_SKIP_TUTORIAL,Tutorial überspringen,Skip tutorial,Eğitimi atla
HUD_OK,Verstanden,Got it,Anladım
HUD_KOMBO,Kombo ×%d,Combo ×%d,Kombo ×%d
HUD_DAY_SAISON,Tag %d/%d,Day %d/%d,Gün %d/%d
DIFF_LABEL,Schwierigkeit,Difficulty,Zorluk
DIFF_0,"Gemütlich — geduldige Gäste, weniger Miete","Relaxed — patient guests, lower rent","Rahat — sabırlı misafirler, düşük kira"
DIFF_1,Normal,Normal,Normal
DIFF_2,"Wiesn-Wahnsinn — mehr Gäste, weniger Geduld","Fair frenzy — more guests, less patience","Fuar çılgınlığı — daha çok misafir, daha az sabır"
MSG_FEIERABEND_GROSS,22:00 — Feierabend!,22:00 — closing time!,22:00 — mesai bitti!
COMP_GOODS,Ware nachbestellen,Reorder supplies,Malzeme sipariş et
COMP_GOODS_STOCK,Im Lager: Bier %d · Essen %d · Lieferungen unterwegs: %d,In storage: beer %d · food %d · deliveries on the way: %d,Depoda: bira %d · yemek %d · yoldaki teslimat: %d
WHY_COOK_LICENSE,Erst eine Brezn- oder Würstl-Lizenz kaufen — sonst hat der Koch nichts zu tun,Buy a pretzel or sausage license first — otherwise the cook has nothing to do,Önce brezel ya da sosis lisansı al — yoksa aşçının yapacak işi olmaz
MSG_COOK_LICENSE,Ohne Brezn- oder Würstl-Lizenz hat der Koch nichts zu tun,Without a pretzel or sausage license the cook has nothing to do,Brezel ya da sosis lisansı olmadan aşçının yapacak işi yok
EREIGNIS_REGEN_TITEL,Regen,Rain,Yağmur
EREIGNIS_REGEN_START,"Heute regnet es — draußen ist kaum jemand unterwegs, vielleicht flüchten viele ins Zelt.","Rain today — hardly anyone is outside, maybe many will take shelter in the tent.","Bugün yağmur var — dışarıda pek kimse yok, belki çoğu çadıra sığınır."
MSG_REGEN_VOLL,Alle flüchten vor dem Regen ins Zelt — heute wird es voll!,Everyone is fleeing the rain into the tent — it'll be packed today!,Herkes yağmurdan çadıra kaçıyor — bugün çadır dolacak!
EREIGNIS_FINALE_TITEL,Finale — letzter Wiesn-Tag,Finale — last day of the fair,Final — fuarın son günü
EREIGNIS_FINALE_START,"Letzter Wiesn-Tag! Der Star-Act spielt gratis, das Zelt wird rappelvoll!","Last day of the fair! The star act plays for free, the tent will be packed!","Fuarın son günü! Yıldız sanatçı bedava çıkıyor, çadır tıklım tıklım dolacak!"
POPUP_SAISON,"Wiesn %d ist vorbei!\n\nUmsatz: %s\nGewinn: %s\nBedient: %d\nØ Beliebtheit: %d %%\n\nBewertung: %s\n\nMorgen beginnt die nächste Wiesn — die Kosten steigen weiter.","Fair %d is over!\n\nRevenue: %s\nProfit: %s\nServed: %d\nØ popularity: %d %%\n\nRating: %s\n\nThe next fair starts tomorrow — costs keep rising.","%d. fuar bitti!\n\nCiro: %s\nKâr: %s\nServis: %d\nOrt. popülerlik: %%%d\n\nPuan: %s\n\nYarın yeni fuar başlıyor — masraflar artmaya devam ediyor."
MS_SAISON_1_TITLE,Erste Wiesn geschafft,First fair done,İlk fuar tamam
MS_SAISON_1_TEXT,Spiele eine ganze Wiesn bis zum Finale.,Play a whole fair until the finale.,Bir fuarı finaline kadar oyna.
MS_WIESN_WIRT_5_TITLE,Fünf Maßkrüge,Five mugs,Beş kupa
MS_WIESN_WIRT_5_TEXT,Beende eine Wiesn mit der Bestbewertung.,Finish a fair with the top rating.,Bir fuarı en yüksek puanla bitir.
MS_TANZ_50_TITLE,Auf den Tischen,On the tables,Masaların üstünde
MS_TANZ_50_TEXT,50 Mal sind Gäste auf deine Tische gestiegen und haben getanzt.,Guests climbed onto your tables and danced 50 times.,Misafirler 50 kez masalarına çıkıp dans etti.
MS_KOTZE_100_TITLE,Kotzbrocken-Zelt,The barf tent,Kusmuk çadırı
MS_KOTZE_100_TEXT,In deinem Zelt wurde 100 Mal gekotzt. Glückwunsch?,Guests threw up 100 times in your tent. Congratulations?,Çadırında 100 kez kusuldu. Tebrikler?
MS_KOMBO_10_TITLE,Flinke Hände,Quick hands,Çevik eller
MS_KOMBO_10_TEXT,Schaffe eine Kombo ×10 beim Bedienen.,Reach a ×10 combo while serving.,Servis yaparken ×10 kombo yap.
MS_SAUBER_5_TITLE,Keine Pfütze,Not a single puddle,Tek birikinti yok
MS_SAUBER_5_TEXT,Schließe 5 Tage ohne eine einzige Pfütze ab.,Finish 5 days without a single puddle.,Tek bir birikinti olmadan 5 gün bitir.
MS_DEKO_10_TITLE,Gemütlich eingerichtet,Cosy furnished,Rahat döşenmiş
MS_DEKO_10_TEXT,Stell 10 Einrichtungsgegenstände in dein Zelt.,Place 10 furnishing items in your tent.,Çadırına 10 eşya yerleştir.
MS_EREIGNIS_10_TITLE,Wiesn-Veteran,Fair veteran,Fuar kurdu
MS_EREIGNIS_10_TEXT,Erlebe 10 Tagesereignisse.,Experience 10 daily events.,10 günlük olay yaşa.
MS_PERSONAL_8_TITLE,Großbetrieb,Big business,Büyük işletme
MS_PERSONAL_8_TEXT,Beschäftige 8 Leute gleichzeitig.,Employ 8 people at the same time.,Aynı anda 8 kişi çalıştır.
MS_SAISON_3_TITLE,Drei Wiesn,Three fairs,Üç fuar
MS_SAISON_3_TEXT,Spiele drei ganze Wiesn bis zum Finale.,Play three whole fairs until the finale.,Üç fuarı finaline kadar oyna.
EREIGNIS_BUS_TITEL,Touristenbus,Tourist bus,Turist otobüsü
EREIGNIS_BUS_START,"Heute kommt ein Touristenbus: viel mehr Gäste, aber sie sind ungeduldig!","A tourist bus arrives today: many more guests, but they're impatient!","Bugün turist otobüsü geliyor: çok daha fazla misafir ama sabırsızlar!"
EREIGNIS_KONTROLLE_TITEL,Hygienekontrolle 15:00,Hygiene inspection 15:00,Hijyen denetimi 15:00
EREIGNIS_KONTROLLE_START,Um 15:00 kommt die Hygienekontrolle — halt das Zelt sauber (mindestens 60 %)!,The hygiene inspection comes at 15:00 — keep the tent clean (at least 60 %)!,Saat 15:00'te hijyen denetimi var — çadırı temiz tut (en az %60)!
MSG_KONTROLLE_OK,Kontrolle bestanden — Beliebtheit +%d %%,Inspection passed — popularity +%d %%,Denetim geçildi — popülerlik +%%%d
MSG_KONTROLLE_STRAFE,Kontrolle durchgefallen — Strafe %s,Inspection failed — fine %s,Denetimden kalındı — ceza %s
EREIGNIS_HAPPY_TITEL,Happy Hour 18–19 Uhr,Happy hour 18–19,Happy hour 18–19
EREIGNIS_HAPPY_START,"Happy Hour von 18 bis 19 Uhr: Bier billiger, das Zelt wird voll!","Happy hour from 18 to 19: cheaper beer, the tent fills up!","18–19 arası happy hour: bira ucuz, çadır dolacak!"
EREIGNIS_FASS_TITEL,Fass kaputt,Broken keg,Fıçı bozuk
